season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2003,1,ARI,REG,DET,28,46,363,3,1,2,-19,1,1,0,363,13,-1.3031956991757,,0,20,95,0,1,0,4,0.680083353363443,0,28,0,363,3,0,0,0,0,13,26.2852830735501,0,0,37,6,6,0,0,0,0,0,0,0,0,4,0,1,0,0,1,1,0,0,0,12,80,6,3,18,6,152,1,1,0,0,38,1,0,0,1,0,0,0,0,0,0,0,0,0,38,,,38,0,0,3,3,0,0,1,0,0,0,0,0
2003,1,ATL,REG,DAL,16,27,228,2,1,2,-8,1,0,0,228,10,10.018946078957,,0,30,98,1,0,0,6,0.698742018210829,0,16,0,228,2,0,0,0,0,10,21.4449031287822,0,0,41,0,6,0,0,1,3,14,0,1,8,6,0,0,0,0,1,1,1,1,0,4,31,2,5,34,3,70,2,2,0,0,37,1,0,0,2,0,0,0,0,0,0,0,0,0,37;31,,,68,0,0,3,3,0,0,1,0,0,0,0,0
2003,1,BAL,REG,PIT,22,43,152,1,1,2,-9,1,0,0,152,9,-14.8090479527018,,1,23,88,1,2,1,5,-5.43749230843969,0,22,0,152,1,0,0,0,0,9,8.36966776532075,1,0,38,12,28,0,0,1,3,19,0,0,0,5,0,0,0,0,3,4,1,1,0,10,81,6,4,22,5,116,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,1,0,0,1,0,0,0,0,0
2003,1,BUF,REG,NE,17,28,230,1,1,2,-15,0,0,0,230,12,9.46014005001592,,0,33,104,2,1,1,9,-7.58449189114617,0,17,0,230,1,0,0,0,0,12,20.1706807371283,0,0,35,12,18,0,0,0,2,20,0,4,38,11,1,0,0,0,1,2,0,0,0,10,119,5,4,3,1,20,1,1,0,0,44,1,0,0,0,1,0,0,0,0,0,0,0,0,44,,,44,0,0,4,4,0,0,1,0,0,0,0,0
2003,1,CAR,REG,JAX,16,30,141,3,2,4,-21,0,0,0,141,9,-7.3182138774313,,0,27,122,0,2,0,10,-2.20335669729672,0,16,0,141,3,0,0,0,0,9,11.899216476988,0,0,51,6,12,0,0,0,4,16,0,0,0,0,0,1,1,0,4,5,1,1,0,9,83,3,6,102,4,108,1,1,0,0,49,1,0,0,0,1,0,0,0,0,0,0,0,0,49,,,49,0,0,1,1,0,0,1,0,0,0,0,0
2003,1,CHI,REG,SF,14,34,95,1,3,5,-23,1,1,0,95,4,-30.9656834019697,,0,20,55,0,0,0,3,-3.41498453810345,0,14,0,95,1,0,0,0,0,4,5.47109814174473,0,0,48,20,20,0,0,2,0,0,0,1,0,7,0,1,0,0,1,1,1,1,0,4,30,1,2,9,9,170,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,1,0,0,1,0,0,0,0,0
2003,1,CIN,REG,DEN,20,37,264,1,2,4,-21,1,1,0,264,12,-15.3190797831921,,0,22,51,0,1,0,2,-8.52958589230548,0,20,0,264,1,0,0,0,0,12,13.9886693669541,0,0,50,0,20,0,0,0,1,6,0,3,38,7,0,0,0,0,1,1,0,0,0,4,25,3,2,3,7,135,1,1,0,0,26,1,0,1,0,0,0,0,0,0,0,0,0,0,26,,,26,0,0,1,1,0,0,1,0,0,0,0,0
2003,1,CLE,REG,IND,20,29,182,0,2,0,0,0,0,0,182,9,-0.0700480548451536,,0,26,98,0,1,0,8,-3.77772742468448,0,20,0,182,0,0,0,0,0,9,13.4235752216773,0,0,38,11,11,0,0,2,1,7,0,2,25,6,0,1,0,0,2,2,0,0,0,9,64,1,1,2,3,36,2,2,0,0,20,1,1,1,0,0,0,0,0,0,0,0,0,0,19;20,,,39,0,0,0,0,0,0,,0,0,0,0,0
2003,1,DAL,REG,ATL,15,32,268,1,1,3,-14,0,0,0,268,9,0.47153806322074,,0,24,149,1,2,1,8,-2.09633157742792,0,15,0,268,1,0,0,0,0,9,17.947019549174,0,0,40,1,23,0,0,1,2,8,0,1,-2,4,0,0,0,0,1,2,0,0,0,7,49,4,1,0,5,95,0,1,1,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,,33,,0,33,0,1,2,0,1,0.5,0,0,0,0,0
2003,1,DEN,REG,CIN,12,25,115,0,3,1,-6,0,0,0,115,5,-13.951898467621,,0,40,184,2,0,0,15,7.71816405601567,0,12,0,115,0,0,0,0,0,5,7.59657515081067,0,0,49,1,15,0,0,3,4,21,0,2,15,10,1,0,0,0,0,0,2,2,0,5,58,4,3,26,3,75,3,3,0,0,51,1,0,1,1,0,1,0,0,0,0,0,0,0,51;27;39,,,117,0,0,3,3,0,0,1,0,0,0,0,0
2003,1,DET,REG,ARI,17,30,195,4,0,0,0,0,0,0,195,10,9.66873979580123,,0,23,66,0,0,0,6,-5.82315594656393,0,17,0,195,4,0,0,0,0,10,22.1254257999244,0,1,49,4,4,0,0,0,1,9,0,1,48,7,1,0,0,0,0,0,2,2,0,6,36,1,3,77,5,119,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,6,6,0,0,1,0,0,0,0,0
2003,1,GB,REG,MIN,25,41,248,1,4,1,-6,0,0,0,248,14,1.34481404568143,,1,19,62,2,1,1,6,-3.45493746493594,0,25,0,248,1,0,0,0,0,14,22.6993870330772,1,0,43,11,15,0,0,2,2,12,0,0,0,3,0,0,0,0,0,0,3,3,0,6,60,6,2,13,7,143,1,1,0,0,27,1,0,1,0,0,0,0,0,0,0,0,0,0,27,,,27,0,0,2,2,0,0,1,0,0,0,0,0
2003,1,HOU,REG,MIA,17,32,266,1,0,0,0,0,0,0,266,9,10.1372155756727,,0,34,127,0,0,0,6,-5.81989142277648,0,17,0,266,1,0,0,0,0,9,22.3242051095982,0,0,34,0,20,0,0,1,2,12,0,2,3,6,0,0,0,0,0,0,1,1,0,8,67,7,4,12,3,54,5,7,2,0,50,0.714285714285714,0,2,2,0,1,0,0,0,0,1,1,0,36;50;23;24;35,43;54,,168,97,0,0,0,0,0,,1,1,0,0,35
2003,1,IND,REG,CLE,27,43,211,0,2,1,-7,0,0,0,211,14,-2.48038377441885,,0,15,67,0,1,0,4,-1.57260969956405,0,27,0,211,0,1,0,0,0,14,16.124618662452,0,0,34,18,18,0,0,1,0,0,0,2,43,5,0,0,0,0,0,0,0,0,0,9,53,5,1,2,3,55,3,3,0,0,46,1,0,1,0,2,0,0,0,0,0,0,0,0,22;46;45,,,113,0,0,0,0,0,0,,1,1,0,0,45
2003,1,JAX,REG,CAR,23,27,272,2,0,4,-16,0,0,0,272,11,12.4771073886518,,0,28,75,1,0,0,5,-8.48342383055747,0,23,0,272,2,0,0,0,0,11,20.9593800700827,0,0,42,4,16,0,0,1,4,21,0,2,13,8,0,0,0,0,0,1,0,0,0,8,82,5,4,37,5,91,1,2,0,1,40,0.5,0,0,0,1,0,0,0,0,0,0,0,0,40,,55,40,0,55,2,2,0,0,1,0,1,0,1,55
